food_id,food_name,cuisine,category,calories,protein,carbs,fats,spice_level,veg_nonveg,price,meal_type,image_url,description,ingredients,allergens
f18,Veggie Quesadilla,Mexican,Snacks,290,10,32,12,Medium,Veg,190,Light,https://images.unsplash.com/photo-1618040996337-56904b7850b9?w=600&h=400&fit=crop,"Toasted tortilla with melted cheese, corn, beans, and peppers.","flour tortilla,cheddar cheese,corn,black beans,bell pepper,onion,cumin",Gluten|Dairy
f19,Grilled Salmon with Asparagus,American,Dinner,460,36,8,30,Low,Non-Veg,490,Light,https://images.unsplash.com/photo-1467003909585-2f8a72700288?w=600&h=400&fit=crop,Pan-seared salmon with lemon herb butter and grilled asparagus.,"salmon,asparagus,butter,lemon,garlic,dill,olive oil,salt,pepper",Fish|Dairy
f20,Miso Soup,Japanese,Breakfast,90,4,8,2,Low,Veg,110,Light,https://images.unsplash.com/photo-1547592166-23ac45744acd?w=600&h=400&fit=crop,"Traditional Japanese soup with miso paste, tofu, and seaweed.","miso paste,tofu,wakame seaweed,spring onion,dashi",Soy
f21,Chicken Ramen,Japanese,Dinner,540,28,62,16,Medium,Non-Veg,380,Heavy,https://images.unsplash.com/photo-1569718212165-3a8278d5f624?w=600&h=400&fit=crop,Rich chicken broth noodles with grilled chicken and soft boiled egg.,"ramen noodles,chicken,egg,spring onion,nori,soy sauce,miso,garlic,ginger",Gluten|Eggs|Soy
f22,Chicken Quesadilla,Mexican,Snacks,420,24,30,18,Medium,Non-Veg,240,Light,https://images.unsplash.com/photo-1628840042765-356cda07504e?w=600&h=400&fit=crop,Warm tortilla with melted cheese and spicy pulled chicken.,"flour tortilla,chicken,cheddar cheese,bell pepper,onion,cumin,chili",Gluten|Dairy
f23,Fruit Smoothie Bowl,American,Breakfast,240,5,48,4,Low,Veg,200,Light,https://images.unsplash.com/photo-1590301157890-4810ed352733?w=600&h=400&fit=crop,"Blended banana-berry bowl topped with chia, granola, and honey.","banana,strawberry,blueberry,chia seeds,granola,honey,almond milk",Nuts|Gluten
f24,Chocolate Pancake Stack,American,Breakfast,480,8,80,12,Low,Veg,180,Heavy,https://images.unsplash.com/photo-1567620905732-2d1ec7ab7445?w=600&h=400&fit=crop,Fluffy buttermilk pancakes with warm chocolate sauce.,"flour,buttermilk,egg,butter,chocolate,sugar,baking powder,vanilla",Gluten|Dairy|Eggs
f25,Quinoa Chickpea Salad,American,Lunch,290,10,40,8,Low,Veg,240,Light,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?w=600&h=400&fit=crop,"Quinoa, chickpeas, cucumber, and cherry tomatoes in lemon dressing.","quinoa,chickpea,cucumber,cherry tomato,red onion,lemon,olive oil,parsley",
f26,Chili Con Carne,Mexican,Dinner,510,30,42,20,High,Non-Veg,320,Heavy,https://images.unsplash.com/photo-1455619452474-d2be8b1e70cd?w=600&h=400&fit=crop,"Hearty stew of minced beef, kidney beans, chili peppers, and tomatoes.","beef mince,kidney beans,tomato,onion,garlic,chili pepper,cumin,paprika,oil",
f27,Samosa,Indian,Snacks,190,3,24,10,High,Veg,40,Light,https://images.unsplash.com/photo-1601050690597-df0568f70950?w=600&h=400&fit=crop,Crispy fried pastry triangles filled with spiced potato and peas.,"flour,potato,peas,cumin,coriander,chili,oil,salt",Gluten
f28,Garlic Bread,Italian,Snacks,220,5,28,10,Low,Veg,140,Light,https://images.unsplash.com/photo-1619535860434-ba1d8fa12536?w=600&h=400&fit=crop,"Toasted baguette with garlic butter, parsley, and melted mozzarella.","baguette,butter,garlic,parsley,mozzarella",Gluten|Dairy
f29,Chicken Biryani,Indian,Dinner,590,32,68,18,High,Non-Veg,320,Heavy,https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=600&h=400&fit=crop,"Layered basmati rice with chicken, whole spices, and saffron.","basmati rice,chicken,onion,yogurt,saffron,bay leaf,cardamom,cinnamon,ghee,mint",Dairy
f30,Steamed Veg Momos,Chinese,Snacks,160,4,32,1,Medium,Veg,130,Light,https://images.unsplash.com/photo-1534422298391-e4f8c172dddb?w=600&h=400&fit=crop,Steamed dumplings stuffed with minced vegetables and sesame dipping sauce.,"flour,cabbage,carrot,spring onion,ginger,garlic,soy sauce,sesame oil",Gluten|Soy|Sesame
f31,Idli Sambar,Indian,Breakfast,260,9,48,4,Medium,Veg,90,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Idli_Sambar-Noida-UP-SP004.jpg/960px-Idli_Sambar-Noida-UP-SP004.jpg,Steamed rice-lentil cakes with vegetable sambar for a light South Indian breakfast.,"rice,urad dal,toor dal,tomato,carrot,drumstick,tamarind,mustard seeds,curry leaves",
f32,Poha with Peanuts,Indian,Breakfast,285,7,45,8,Medium,Veg,80,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Poha.jpg/960px-Poha.jpg,"Flattened rice tossed with turmeric, onions, herbs, and roasted peanuts.","poha,onion,peanuts,mustard seeds,curry leaves,turmeric,green chili,lemon",Peanuts
f33,Moong Dal Chilla,Indian,Breakfast,240,14,32,6,Medium,Veg,110,Light,/food-image/f33.svg,Protein-rich lentil pancakes with coriander chutney and mild spices.,"moong dal,ginger,green chili,coriander,onion,cumin,oil",
f34,Aloo Paratha with Curd,Indian,Breakfast,420,11,62,14,Medium,Veg,140,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Aloo_paratha_2.JPG/960px-Aloo_paratha_2.JPG,Whole wheat flatbread stuffed with spiced potato and served with curd.,"whole wheat flour,potato,curd,cumin,coriander,chili,ghee",Gluten|Dairy
f35,Upma,Indian,Breakfast,300,8,52,7,Low,Veg,95,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Upma_South_India.JPG/960px-Upma_South_India.JPG,Savory semolina porridge cooked with vegetables and curry leaves.,"semolina,onion,carrot,peas,mustard seeds,curry leaves,ginger,oil",Gluten
f36,Appam with Vegetable Stew,Indian,Breakfast,340,7,58,9,Low,Veg,160,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Appam_and_stew.jpg/960px-Appam_and_stew.jpg,Soft fermented rice appams with coconut vegetable stew.,"rice,coconut milk,potato,carrot,beans,ginger,curry leaves,pepper",
f37,Ragi Dosa,Indian,Breakfast,270,8,44,6,Medium,Veg,120,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Ragi_Dosa_Mumbai.jpg/960px-Ragi_Dosa_Mumbai.jpg,Finger millet dosa served with tomato chutney for a fiber-rich breakfast.,"ragi flour,rice flour,urad dal,tomato,onion,curry leaves,chili,oil",
f38,Sprout Salad Chaat,Indian,Snacks,180,11,28,3,Medium,Veg,90,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Sprouts_Salad_with_Corn.JPG/960px-Sprouts_Salad_with_Corn.JPG,"Crunchy moong sprouts with tomato, onion, lemon, and chaat masala.","moong sprouts,tomato,onion,cucumber,lemon,coriander,chaat masala",
f39,Rajma Chawal,Indian,Lunch,520,17,86,10,Medium,Veg,180,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Rajma_Chawal_Thali.jpg/960px-Rajma_Chawal_Thali.jpg,Kidney bean curry with steamed rice for a hearty North Indian meal.,"kidney beans,basmati rice,tomato,onion,ginger,garlic,cumin,coriander,oil",
f40,Palak Paneer,Indian,Lunch,360,18,18,24,Medium,Veg,260,Heavy,/food-image/f40.svg,Paneer cubes simmered in creamy spinach gravy with warming spices.,"paneer,spinach,cream,onion,ginger,garlic,cumin,garam masala",Dairy
f41,Baingan Bharta,Indian,Lunch,230,5,24,12,Medium,Veg,150,Light,/food-image/f41.svg,"Smoky mashed eggplant cooked with tomato, onion, and spices.","eggplant,tomato,onion,garlic,ginger,cumin,coriander,oil",
f42,Vegetable Khichdi,Indian,Lunch,310,11,54,5,Low,Veg,120,Light,/food-image/f42.svg,"Comforting rice and lentil khichdi with carrots, peas, and gentle spices.","rice,moong dal,carrot,peas,cumin,turmeric,ginger,ghee",Dairy
f43,Kadhi Pakora,Indian,Lunch,430,13,48,18,Medium,Veg,170,Heavy,/food-image/f43.svg,Yogurt curry with gram flour dumplings and tempered spices.,"yogurt,besan,onion,ginger,mustard seeds,curry leaves,chili,oil",Dairy
f44,Hyderabadi Veg Biryani,Indian,Dinner,510,12,82,14,High,Veg,260,Heavy,/food-image/f44.svg,"Layered basmati rice with vegetables, herbs, saffron, and biryani spices.","basmati rice,carrot,beans,peas,potato,yogurt,saffron,mint,ghee",Dairy
f45,Chicken Tikka,Indian,Dinner,360,38,8,18,High,Non-Veg,360,Heavy,/food-image/f45.svg,Char-grilled chicken pieces marinated in yogurt and bold tandoori spices.,"chicken,yogurt,ginger,garlic,chili,cumin,coriander,lemon,oil",Dairy
f46,Fish Curry Rice,Indian,Dinner,470,30,55,14,Medium,Non-Veg,340,Heavy,/food-image/f46.svg,Coastal fish curry with steamed rice and tangy coconut-spice gravy.,"fish,rice,coconut milk,tamarind,tomato,onion,garlic,curry leaves",Fish
f47,Egg Curry with Roti,Indian,Dinner,410,20,42,17,Medium,Non-Veg,190,Heavy,/food-image/f47.svg,Boiled eggs in spiced tomato gravy served with whole wheat roti.,"egg,whole wheat flour,tomato,onion,ginger,garlic,cumin,coriander",Gluten|Eggs
f48,Mutton Rogan Josh,Indian,Dinner,620,36,18,42,High,Non-Veg,520,Heavy,/food-image/f48.svg,Slow-cooked mutton curry with Kashmiri chili and aromatic spices.,"mutton,yogurt,onion,garlic,ginger,kashmiri chili,cardamom,clove",Dairy
f49,Tandoori Prawns,Indian,Dinner,310,34,6,15,High,Non-Veg,480,Light,/food-image/f49.svg,"Smoky prawns marinated with yogurt, chili, lemon, and tandoori masala.","prawns,yogurt,lemon,ginger,garlic,chili,cumin,oil",Shellfish|Dairy
f50,Paneer Bhurji,Indian,Lunch,330,21,14,22,Medium,Veg,230,Heavy,/food-image/f50.svg,"Crumbled paneer sauteed with onion, tomato, peppers, and spices.","paneer,onion,tomato,bell pepper,ginger,cumin,turmeric,oil",Dairy
f51,Lentil Millet Bowl,Indian,Lunch,360,16,58,7,Low,Veg,190,Light,/food-image/f51.svg,Millet and dal bowl with vegetables for a balanced heart-friendly meal.,"millet,masoor dal,spinach,carrot,tomato,cumin,lemon,olive oil",
f52,Soya Chaap Masala,Indian,Dinner,440,28,32,22,High,Veg,280,Heavy,/food-image/f52.svg,Soya chaap in a spicy tomato-onion masala with high protein content.,"soya chaap,tomato,onion,ginger,garlic,chili,cashew,oil",Soy|Nuts
f53,Hara Bhara Kebab,Indian,Snacks,210,9,24,8,Medium,Veg,160,Light,/food-image/f53.svg,Pan-seared spinach and pea kebabs with herbs and light spices.,"spinach,peas,potato,coriander,ginger,green chili,breadcrumbs,oil",Gluten
f54,Dhokla,Indian,Snacks,170,6,28,4,Low,Veg,85,Light,/food-image/f54.svg,Steamed fermented gram flour cakes with mustard and curry leaf tempering.,"besan,yogurt,mustard seeds,curry leaves,green chili,lemon",Dairy
f55,Vada Pav,Indian,Snacks,330,7,48,13,High,Veg,60,Snack,/food-image/f55.svg,Mumbai-style potato fritter in a bun with spicy chutneys.,"burger bun,potato,besan,garlic,chili,coriander,tamarind,oil",Gluten
f56,Pav Bhaji,Indian,Snacks,430,10,62,16,Medium,Veg,150,Heavy,https://upload.wikimedia.org/wikipedia/commons/6/63/Pav_Bhaji.jpg,Mashed vegetable curry served with buttered pav and onions.,"pav,potato,tomato,peas,cauliflower,butter,onion,pav bhaji masala",Gluten|Dairy
f57,Bhel Puri,Indian,Snacks,220,5,38,6,Medium,Veg,70,Snack,/food-image/f57.svg,"Puffed rice chaat with chutneys, onion, tomato, and sev.","puffed rice,sev,onion,tomato,tamarind chutney,mint chutney,peanuts",Peanuts
f58,Masala Chaas and Millet Roti Plate,Indian,Lunch,300,10,46,8,Low,Veg,130,Light,/food-image/f58.svg,Light millet roti plate with spiced buttermilk and vegetable sabzi.,"millet flour,buttermilk,cumin,coriander,okra,tomato,onion,oil",Dairy
f59,Sarson Ka Saag with Makki Roti,Indian,Lunch,480,14,58,20,Medium,Veg,240,Heavy,/food-image/f59.svg,Mustard greens curry served with cornmeal flatbread and a touch of ghee.,"mustard greens,spinach,cornmeal flour,ghee,garlic,ginger,chili",Dairy
f60,Malai Kofta,Indian,Dinner,560,14,46,34,Medium,Veg,310,Heavy,/food-image/f60.svg,Paneer and potato dumplings in a creamy cashew tomato gravy.,"paneer,potato,cream,cashew,tomato,onion,butter,spices",Dairy|Nuts
f61,Chole Kulche,Indian,Lunch,540,17,82,15,Medium,Veg,180,Heavy,/food-image/f61.svg,Spiced chickpeas served with soft leavened kulche.,"chickpea,flour,yogurt,onion,tomato,cumin,coriander,chili",Gluten|Dairy
f62,Chicken Chettinad,Indian,Dinner,520,34,16,34,High,Non-Veg,380,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Chicken_Chettinad_02.JPG/960px-Chicken_Chettinad_02.JPG,Peppery South Indian chicken curry with coconut and roasted spices.,"chicken,coconut,onion,tomato,black pepper,curry leaves,fennel,oil",
f63,Goan Prawn Curry,Indian,Dinner,430,29,42,16,Medium,Non-Veg,440,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Shrimp_curry_on_plate.jpg/960px-Shrimp_curry_on_plate.jpg,Tangy coconut prawn curry served with rice.,"prawns,rice,coconut milk,tamarind,onion,garlic,chili,coriander",Shellfish
f64,Keema Pav,Indian,Dinner,580,31,46,30,High,Non-Veg,320,Heavy,/food-image/f64.svg,Spiced minced meat with toasted pav for a rich comfort meal.,"mutton mince,pav,onion,tomato,ginger,garlic,chili,butter",Gluten|Dairy
f65,Coconut Vegetable Curry,Indian,Lunch,330,8,38,16,Low,Veg,210,Light,/food-image/f65.svg,Mild coconut curry with mixed vegetables and steamed rice.,"coconut milk,rice,carrot,beans,cauliflower,ginger,curry leaves,pepper",
f66,Pesto Pasta Primavera,Italian,Lunch,430,13,58,16,Low,Veg,310,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Pesto_Pasta_%28Unsplash%29.jpg/960px-Pesto_Pasta_%28Unsplash%29.jpg,"Pasta with basil pesto, cherry tomatoes, zucchini, and parmesan.","pasta,basil,parmesan,pine nuts,zucchini,cherry tomato,olive oil,garlic",Gluten|Dairy|Nuts
f67,Minestrone Soup,Italian,Dinner,210,9,34,5,Low,Veg,220,Light,/food-image/f67.svg,Vegetable and bean soup with herbs and small pasta.,"pasta,kidney beans,carrot,celery,tomato,zucchini,basil,olive oil",Gluten
f68,Caprese Sandwich,Italian,Snacks,360,15,38,17,Low,Veg,250,Light,/food-image/f68.svg,"Toasted sandwich with mozzarella, tomato, basil, and pesto.","bread,mozzarella,tomato,basil,pesto,olive oil",Gluten|Dairy|Nuts
f69,Chicken Pesto Panini,Italian,Lunch,470,32,44,19,Low,Non-Veg,340,Heavy,/food-image/f69.svg,"Grilled chicken panini with pesto, mozzarella, and roasted peppers.","bread,chicken,pesto,mozzarella,bell pepper,basil,olive oil",Gluten|Dairy|Nuts
f70,Mushroom Risotto,Italian,Dinner,480,12,62,18,Low,Veg,360,Heavy,/food-image/f70.svg,"Creamy arborio rice with mushrooms, parmesan, and herbs.","arborio rice,mushroom,parmesan,butter,onion,garlic,vegetable stock",Dairy
f71,Shrimp Arrabbiata,Italian,Dinner,520,30,64,14,High,Non-Veg,430,Heavy,/food-image/f71.svg,"Spicy tomato pasta with shrimp, garlic, and chili flakes.","pasta,shrimp,tomato,garlic,chili flakes,olive oil,parsley",Gluten|Shellfish
f72,Eggplant Parmesan,Italian,Dinner,500,18,42,28,Medium,Veg,330,Heavy,/food-image/f72.svg,"Baked eggplant layered with tomato sauce, mozzarella, and parmesan.","eggplant,breadcrumbs,mozzarella,parmesan,tomato sauce,basil,olive oil",Gluten|Dairy
f73,Kung Pao Chicken,Chinese,Dinner,520,34,38,24,High,Non-Veg,340,Heavy,/food-image/f73.svg,"Stir-fried chicken with peppers, peanuts, and spicy soy glaze.","chicken,bell pepper,peanuts,soy sauce,garlic,ginger,chili,sesame oil",Peanuts|Soy|Sesame
f74,Vegetable Manchurian,Chinese,Snacks,360,8,48,14,High,Veg,190,Snack,/food-image/f74.svg,Crispy vegetable balls tossed in a spicy Indo-Chinese sauce.,"cabbage,carrot,flour,cornstarch,soy sauce,garlic,chili,oil",Gluten|Soy
f75,Egg Fried Rice,Chinese,Lunch,430,16,62,13,Medium,Non-Veg,210,Heavy,/food-image/f75.svg,"Wok-fried rice with egg, vegetables, soy sauce, and spring onions.","rice,egg,carrot,beans,spring onion,soy sauce,garlic,oil",Eggs|Soy
f76,Mapo Tofu Rice Bowl,Chinese,Dinner,390,20,44,15,High,Veg,260,Heavy,/food-image/f76.svg,Tofu and rice bowl with a spicy bean sauce and Sichuan pepper.,"tofu,rice,soy sauce,chili bean paste,garlic,ginger,spring onion",Soy
f77,Lemon Chicken,Chinese,Lunch,450,29,52,14,Medium,Non-Veg,310,Heavy,/food-image/f77.svg,Crisp chicken strips in a bright lemon sauce with steamed rice.,"chicken,rice,cornstarch,lemon,soy sauce,ginger,garlic,oil",Soy
f78,Hot and Sour Soup,Chinese,Snacks,150,10,16,6,High,Veg,140,Light,/food-image/f78.svg,"Peppery soup with tofu, mushrooms, bamboo shoots, and vinegar.","tofu,mushroom,bamboo shoot,soy sauce,vinegar,pepper,chili",Soy
f79,Chicken Lettuce Wraps,Chinese,Dinner,290,27,18,12,Medium,Non-Veg,320,Light,/food-image/f79.svg,"Minced chicken in lettuce cups with ginger, soy, and sesame.","chicken,lettuce,soy sauce,ginger,garlic,sesame oil,spring onion",Soy|Sesame
f80,Turkey Club Sandwich,American,Lunch,520,34,48,22,Low,Non-Veg,330,Heavy,/food-image/f80.svg,"Layered turkey sandwich with lettuce, tomato, egg, and light mayo.","bread,turkey,egg,lettuce,tomato,mayonnaise,cheddar",Gluten|Eggs|Dairy
f81,BBQ Chicken Bowl,American,Dinner,560,38,66,16,Medium,Non-Veg,390,Heavy,/food-image/f81.svg,"Grilled BBQ chicken with rice, corn, beans, and slaw.","chicken,rice,black beans,corn,cabbage,bbq sauce,yogurt",Dairy
f82,Vegan Buddha Bowl,American,Lunch,420,17,58,14,Low,Veg,310,Light,/food-image/f82.svg,"Quinoa bowl with chickpeas, sweet potato, avocado, and tahini dressing.","quinoa,chickpea,sweet potato,avocado,kale,tahini,lemon",Sesame
f83,Peanut Butter Banana Toast,American,Breakfast,350,12,42,15,Low,Veg,160,Light,/food-image/f83.svg,"Whole grain toast topped with peanut butter, banana, and chia.","whole grain bread,peanut butter,banana,chia seeds,honey",Gluten|Peanuts
f84,Egg White Omelette,American,Breakfast,220,24,8,9,Low,Non-Veg,210,Light,/food-image/f84.svg,"Lean omelette with spinach, mushrooms, and bell peppers.","egg whites,spinach,mushroom,bell pepper,olive oil,pepper",Eggs
f85,Buffalo Chicken Wrap,American,Snacks,460,32,38,20,High,Non-Veg,280,Heavy,/food-image/f85.svg,"Spicy chicken wrap with lettuce, yogurt ranch, and celery crunch.","tortilla,chicken,hot sauce,lettuce,yogurt,celery",Gluten|Dairy
f86,Apple Cinnamon Overnight Oats,American,Breakfast,300,10,48,7,Low,Veg,180,Light,/food-image/f86.svg,"Chilled oats with apple, cinnamon, chia, and milk.","oats,apple,milk,chia seeds,cinnamon,honey",Dairy
f87,Salmon Teriyaki Bowl,Japanese,Dinner,540,36,64,16,Medium,Non-Veg,480,Heavy,/food-image/f87.svg,Grilled salmon over rice with vegetables and teriyaki glaze.,"salmon,rice,broccoli,carrot,soy sauce,mirin,sesame seeds",Fish|Soy|Sesame
f88,Vegetable Udon Soup,Japanese,Lunch,360,11,66,6,Low,Veg,290,Light,/food-image/f88.svg,"Warm udon noodle soup with mushrooms, greens, and tofu.","udon noodles,tofu,mushroom,bok choy,soy sauce,ginger,nori",Gluten|Soy
f89,Chicken Katsu Curry,Japanese,Dinner,680,34,78,24,Medium,Non-Veg,420,Heavy,/food-image/f89.svg,Crispy chicken cutlet with Japanese curry and steamed rice.,"chicken,breadcrumbs,egg,rice,potato,carrot,curry roux,flour",Gluten|Eggs
f90,Edamame and Tofu Poke Bowl,Japanese,Lunch,410,23,52,12,Low,Veg,340,Light,/food-image/f90.svg,"Rice bowl with tofu, edamame, cucumber, avocado, and sesame dressing.","rice,tofu,edamame,cucumber,avocado,soy sauce,sesame oil,nori",Soy|Sesame
f91,Tuna Onigiri,Japanese,Snacks,260,17,36,6,Low,Non-Veg,190,Snack,/food-image/f91.svg,Rice triangles filled with tuna and wrapped in nori.,"rice,tuna,nori,mayonnaise,soy sauce,sesame seeds",Fish|Eggs|Soy|Sesame
f92,Yakisoba Noodles,Japanese,Dinner,520,20,72,16,Medium,Non-Veg,330,Heavy,/food-image/f92.svg,"Stir-fried noodles with chicken, cabbage, carrots, and savory sauce.","yakisoba noodles,chicken,cabbage,carrot,soy sauce,worcestershire sauce,oil",Gluten|Soy
f93,Matcha Chia Pudding,Japanese,Breakfast,240,8,28,11,Low,Veg,230,Light,/food-image/f93.svg,"Chia pudding with matcha, almond milk, and berries.","chia seeds,matcha,almond milk,berries,honey",Nuts
f94,Black Bean Burrito Bowl,Mexican,Lunch,460,18,72,12,Medium,Veg,260,Heavy,/food-image/f94.svg,"Rice bowl with black beans, corn, salsa, avocado, and lime.","rice,black beans,corn,avocado,tomato,onion,lime,coriander",
f95,Chicken Fajita Plate,Mexican,Dinner,520,36,48,20,Medium,Non-Veg,360,Heavy,https://commons.wikimedia.org/wiki/Special:FilePath/Chicken_fajita_platter%2C_Lone_Star_Texas_Grill.jpg?width=800,"Sizzling chicken with peppers, onions, tortillas, and salsa.","chicken,flour tortilla,bell pepper,onion,salsa,cumin,chili,oil",Gluten
f96,Fish Tacos,Mexican,Dinner,430,28,42,16,Medium,Non-Veg,390,Light,/food-image/f96.svg,"Soft tacos with grilled fish, cabbage slaw, and lime crema.","fish,corn tortilla,cabbage,yogurt,lime,coriander,chili",Fish|Dairy
